session,team,H,AB,BA,earned_runs,innings_pitched,ERA
1,樂天桃猿,9,33,0.2727272727272727,1,9.0,1.0
1,中信兄弟,6,32,0.1875,4,9.0,4.0
2,味全龍,16,39,0.41025641025641024,5,9.0,5.0
2,中信兄弟,9,36,0.25,7,9.0,7.0
3,富邦悍將,11,45,0.24444444444444444,3,12.0,2.25
3,樂天桃猿,10,41,0.24390243902439024,3,12.0,2.25
4,中信兄弟,14,42,0.3333333333333333,0,9.0,0.0
4,統一獅,5,30,0.16666666666666666,7,9.0,7.0
5,味全龍,6,31,0.1935483870967742,3,8.333333333333334,3.2399999999999998
5,富邦悍將,11,34,0.3235294117647059,2,9.0,2.0
6,中信兄弟,3,29,0.10344827586206896,1,8.0,1.125
6,統一獅,8,30,0.26666666666666666,0,9.0,0.0
7,樂天桃猿,16,42,0.38095238095238093,7,9.0,7.0
7,富邦悍將,13,40,0.325,10,9.0,10.0
8,味全龍,4,27,0.14814814814814814,3,8.0,3.375
8,統一獅,6,30,0.2,1,9.0,1.0
9,樂天桃猿,9,33,0.2727272727272727,4,9.0,4.0
9,富邦悍將,11,36,0.3055555555555556,5,9.0,5.0
10,中信兄弟,6,32,0.1875,6,8.0,6.75
10,味全龍,6,27,0.2222222222222222,4,9.0,4.0
11,樂天桃猿,12,36,0.3333333333333333,0,9.0,0.0
11,富邦悍將,3,30,0.1,4,9.0,4.0
12,中信兄弟,2,28,0.07142857142857142,7,8.0,7.875
12,味全龍,9,29,0.3103448275862069,1,9.0,1.0
13,樂天桃猿,8,35,0.22857142857142856,5,8.0,5.625
13,統一獅,8,31,0.25806451612903225,3,9.0,3.0
14,中信兄弟,5,30,0.16666666666666666,4,9.0,4.0
14,味全龍,8,33,0.24242424242424243,5,9.0,5.0
15,富邦悍將,1,25,0.04,2,8.0,2.25
15,統一獅,1,25,0.04,1,9.0,1.0
16,味全龍,5,30,0.16666666666666666,9,8.0,10.125
16,富邦悍將,13,35,0.37142857142857144,1,9.0,1.0
17,味全龍,11,37,0.2972972972972973,6,8.0,6.75
17,富邦悍將,11,36,0.3055555555555556,5,9.0,5.0
18,統一獅,6,32,0.1875,1,8.0,1.125
18,中信兄弟,6,27,0.2222222222222222,0,9.0,0.0
19,樂天桃猿,14,42,0.3333333333333333,3,9.0,3.0
19,富邦悍將,8,33,0.24242424242424243,9,9.0,9.0
20,統一獅,7,34,0.20588235294117646,6,8.0,6.75
20,中信兄弟,12,33,0.36363636363636365,2,9.0,2.0
21,味全龍,17,42,0.40476190476190477,3,9.0,3.0
21,樂天桃猿,10,33,0.30303030303030304,8,9.0,8.0
22,統一獅,17,40,0.425,8,8.0,9.0
22,中信兄弟,9,29,0.3103448275862069,5,9.0,5.0
23,味全龍,10,38,0.2631578947368421,4,9.0,4.0
23,樂天桃猿,14,37,0.3783783783783784,5,9.0,5.0
24,統一獅,5,29,0.1724137931034483,9,8.0,10.125
24,富邦悍將,15,38,0.39473684210526316,0,9.0,0.0
25,味全龍,9,33,0.2727272727272727,0,9.0,0.0
25,樂天桃猿,5,30,0.16666666666666666,4,9.0,4.0
26,中信兄弟,6,31,0.1935483870967742,9,8.0,10.125
26,富邦悍將,12,36,0.3333333333333333,2,9.0,2.0
27,統一獅,13,39,0.3333333333333333,3,9.0,3.0
27,味全龍,8,33,0.24242424242424243,10,9.0,10.0
28,樂天桃猿,15,39,0.38461538461538464,2,9.0,2.0
28,中信兄弟,10,36,0.2777777777777778,9,9.0,9.0
29,富邦悍將,8,35,0.22857142857142856,7,8.0,7.875
29,味全龍,11,32,0.34375,4,9.0,4.0
30,樂天桃猿,10,37,0.2702702702702703,1,9.0,1.0
30,中信兄弟,4,31,0.12903225806451613,8,9.0,8.0
31,富邦悍將,11,36,0.3055555555555556,2,9.0,2.0
31,味全龍,8,34,0.23529411764705882,3,9.0,3.0
32,統一獅,10,43,0.23255813953488372,2,11.0,1.6363636363636365
32,中信兄弟,6,37,0.16216216216216217,4,11.0,3.272727272727273
33,富邦悍將,5,33,0.15151515151515152,3,9.666666666666666,2.793103448275862
33,味全龍,7,34,0.20588235294117646,2,10.0,1.8
34,樂天桃猿,9,36,0.25,22,8.0,24.75
34,統一獅,17,44,0.38636363636363635,2,9.0,2.0
35,富邦悍將,8,42,0.19047619047619047,3,12.0,2.25
35,中信兄弟,6,39,0.15384615384615385,3,12.0,2.25
36,樂天桃猿,14,38,0.3684210526315789,10,8.0,11.25
36,統一獅,16,38,0.42105263157894735,7,9.0,7.0
37,味全龍,10,36,0.2777777777777778,2,9.0,2.0
37,中信兄弟,8,33,0.24242424242424243,7,9.0,7.0
38,樂天桃猿,10,32,0.3125,4,9.0,4.0
38,統一獅,12,38,0.3157894736842105,7,9.0,7.0
39,統一獅,13,38,0.34210526315789475,3,9.0,3.0
39,味全龍,4,30,0.13333333333333333,7,9.0,7.0
40,富邦悍將,2,29,0.06896551724137931,3,8.0,3.375
